"County","State","Outbreak Date","Area Id","Flock Type","Flock Size"
"Dubois","Indiana","02-08-2022","Dubois 01","Commercial Turkey Meat Bird","29000"
"Fulton","Kentucky","02-12-2022","Fulton 01","Commercial Broiler Production","231400"
"Fauquier","Virginia","02-12-2022","Fauquier 01","WOAH Non-Poultry","90"
"Webster","Kentucky","02-15-2022","Webster 01","Commercial Turkey Meat Bird","53300"
"Dubois","Indiana","02-16-2022","Dubois 02","Commercial Turkey Meat Bird","26600"
"Suffolk","New York","02-18-2022","Suffolk 01","WOAH Non-Poultry","8"
"Knox","Maine","02-19-2022","Knox 01","WOAH Non-Poultry","30"
"New Castle","Delaware","02-22-2022","New Castle 01","Commercial Table Egg Layer","1046900"
"Greene","Indiana","02-23-2022","Greene 01","Commercial Turkey Meat Bird","48200"
"Greene","Indiana","02-23-2022","Greene 02","Commercial Turkey Meat Bird","15400"
"Knox","Maine","02-23-2022","Knox 02","WOAH Non-Poultry","100"
"Kalamazoo","Michigan","02-23-2022","Kalamazoo 01","WOAH Non-Poultry","30"
"Dubois","Indiana","02-24-2022","Dubois 03","Commercial Turkey Meat Bird","36000"
"Dutchess","New York","02-24-2022","Dutchess 01","WOAH Non-Poultry","200"
"Ulster","New York","02-24-2022","Ulster 01","WOAH Non-Poultry","70"
"New London","Connecticut","03-01-2022","New London 01","WOAH Non-Poultry","160"
"Pottawattamie","Iowa","03-01-2022","Pottawattamie 01","WOAH Non-Poultry","40"
"Dubois","Indiana","03-02-2022","Dubois 04","Commercial Turkey Meat Bird","16500"
"Cecil","Maryland","03-04-2022","Cecil 01","Commercial Table Egg Layer","644000"
"Bates","Missouri","03-04-2022","Bates 01","WOAH Non-Poultry","50"
"Stoddard","Missouri","03-04-2022","Stoddard 01","Commercial Broiler Production","294800"
"Charles Mix","South Dakota","03-05-2022","Charles Mix 01","Commercial Turkey Meat Bird","44100"
"Buena Vista","Iowa","03-06-2022","Buena Vista 01","Commercial Turkey Meat Bird","49800"
"New Castle","Delaware","03-08-2022","New Castle 02","Commercial Table Egg Pullets","243900"
"Queen Anne's","Maryland","03-08-2022","Queen Anne's 01","Commercial Broiler Production","139300"
"Jasper","Missouri","03-08-2022","Jasper 01","Commercial Turkey Meat Bird","25000"
"Lawrence","Missouri","03-09-2022","Lawrence 01","Commercial Turkey Breeder Replacement Hens","37800"
"Taylor","Iowa","03-10-2022","Taylor 01","Commercial Table Egg Layer","915900"
"Cecil","Maryland","03-10-2022","Cecil 02","Commercial Table Egg Layer","663400"
"Mclean","Illinois","03-11-2022","McLean 01","WOAH Non-Poultry","40"
"Franklin","Kansas","03-11-2022","Franklin 01","WOAH Poultry","260"
"Lincoln","Maine","03-12-2022","Lincoln 01","WOAH Non-Poultry","100"
"Charles Mix","South Dakota","03-12-2022","Charles Mix 02","Commercial Turkey Meat Bird","37500"
"York","Maine","03-14-2022","York 01","WOAH Non-Poultry","180"
"Jefferson","Wisconsin","03-14-2022","Jefferson 01","Commercial Table Egg Layer","2750700"
"Ralls","Missouri","03-15-2022","Ralls 01","WOAH Non-Poultry","100"
"Merrick","Nebraska","03-15-2022","Merrick 01","WOAH Non-Poultry","90"
"Rockingham","New Hampshire","03-16-2022","Rockingham 01","WOAH Non-Poultry","150"
"Kent","Delaware","03-17-2022","Kent 01","Commercial Broiler Production","147800"
"Buena Vista","Iowa","03-17-2022","Buena Vista 02","Commercial Table Egg Layer","5347500"
"Sedgwick","Kansas","03-17-2022","Sedgwick 01","WOAH Non-Poultry","6"
"Lincoln","Maine","03-17-2022","Lincoln 02","WOAH Non-Poultry","30"
"Dickinson","Kansas","03-18-2022","Dickinson 01","WOAH Poultry","250"
"Cecil","Maryland","03-18-2022","Cecil 04","Commercial Table Egg Pullets","315400"
"Hanson","South Dakota","03-18-2022","Hanson 01","Commercial Turkey Meat Bird","20200"
"Kingsbury","South Dakota","03-18-2022","Kingsbury 01","Commercial Turkey Meat Bird","39200"
"Knox","Maine","03-19-2022","Knox 03","WOAH Non-Poultry","20"
"York","Maine","03-19-2022","York 02","WOAH Non-Poultry","70"
"Warren","Iowa","03-20-2022","Warren 01","WOAH Non-Poultry","10"
"Hutchinson","South Dakota","03-20-2022","Hutchinson 01","Commercial Turkey Meat Bird","50400"
"Cumberland","Maine","03-22-2022","Cumberland 01","WOAH Poultry","250"
"Butler","Nebraska","03-22-2022","Butler 01","Commercial Broiler Production","570000"
"Beadle","South Dakota","03-22-2022","Beadle 01","Commercial Turkey Meat Bird","29400"
"Charles Mix","South Dakota","03-22-2022","Charles Mix 03","Commercial Turkey Meat Bird","53800"
"Hanson","South Dakota","03-22-2022","Hanson 02","Commercial Turkey Meat Bird","94600"
"Suffolk","New York","03-23-2022","Suffolk 02","Commercial Upland Gamebird Producer","8500"
"Beadle","South Dakota","03-23-2022","Beadle 02","Commercial Turkey Meat Bird","49900"
"Edmunds","South Dakota","03-23-2022","Edmunds 01","Commercial Turkey Breeder Hens","30800"
"Kingsbury","South Dakota","03-23-2022","Kingsbury 02","Commercial Table Egg Layer","120300"
"Buena Vista","Iowa","03-24-2022","Buena Vista 03","Commercial Turkey Meat Bird","53800"
"Macomb","Michigan","03-24-2022","Macomb 01","WOAH Non-Poultry","70"
"Butler","Nebraska","03-24-2022","Butler 02","Commercial Broiler Production","418500"
"Jerauld","South Dakota","03-24-2022","Jerauld 01","Commercial Turkey Meat Bird","44000"
"Franklin","Iowa","03-25-2022","Franklin 01","Commercial Table Egg Pullets","250200"
"Mitchell","Kansas","03-25-2022","Mitchell 01","WOAH Non-Poultry","20"
"Suffolk","New York","03-25-2022","Suffolk 03","WOAH Poultry","290"
"Hutchinson","South Dakota","03-25-2022","Hutchinson 02","Commercial Turkey Meat Bird","45800"
"Washington","Maine","03-26-2022","Washington 01","WOAH Non-Poultry","20"
"Meeker","Minnesota","03-26-2022","Meeker 01","Commercial Turkey Meat Bird","287500"
"Mower","Minnesota","03-26-2022","Mower 01","WOAH Non-Poultry","20"
"Stearns","Minnesota","03-26-2022","Stearns 01","Commercial Turkey Meat Bird","23500"
"Gentry","Missouri","03-26-2022","Gentry 01","WOAH Non-Poultry","140"
"Holt","Nebraska","03-26-2022","Holt 01","WOAH Non-Poultry","50"
"Bon Homme","South Dakota","03-26-2022","Bon Homme 01","WOAH Non-Poultry","230"
"Clark","South Dakota","03-27-2022","Clark 01","Commercial Turkey Meat Bird","43100"
"Hutchinson","South Dakota","03-27-2022","Hutchinson 03","Commercial Turkey Meat Bird","39200"
"Mcpherson","South Dakota","03-27-2022","McPherson 01","Commercial Turkey Meat Bird","43900"
"Guthrie","Iowa","03-28-2022","Guthrie 01","Commercial Table Egg Layer","1460000"
"Hamilton","Iowa","03-28-2022","Hamilton 01","Commercial Turkey Meat Bird","25800"
"Knox","Maine","03-29-2022","Knox 04","WOAH Non-Poultry","40"
"Berkshire","Massachusetts","03-29-2022","Berkshire 01","WOAH Non-Poultry","260"
"Kandiyohi","Minnesota","03-29-2022","Kandiyohi 01","Commercial Turkey Meat Bird","39500"
"Lac Qui Parle","Minnesota","03-29-2022","Lac Qui Parle 01","Commercial Turkey Meat Bird","22500"
"Monroe","New York","03-29-2022","Monroe 01","WOAH Poultry","400"
"Johnston","North Carolina","03-29-2022","Johnston 01","Commercial Turkey Meat Bird","32100"
"Kidder","North Dakota","03-29-2022","Kidder 01","WOAH Poultry","30"
"Franklin","Ohio","03-29-2022","Franklin 01","WOAH Non-Poultry","8"
"Bon Homme","South Dakota","03-29-2022","Bon Homme 02","Commercial Turkey Meat Bird","48200"
"Edmunds","South Dakota","03-29-2022","Edmunds 02","Commercial Turkey Breeder Hens","21900"
"Spink","South Dakota","03-29-2022","Spink 01","Commercial Turkey Meat Bird","45900"
"Johnson","Wyoming","03-29-2022","Johnson 01","WOAH Non-Poultry","40"
"Buena Vista","Iowa","03-30-2022","Buena Vista 04","Commercial Turkey Meat Bird","35600"
"Lincoln","Maine","03-30-2022","Lincoln 03","WOAH Non-Poultry","3"
"Brule","South Dakota","03-30-2022","Brule 01","Commercial Turkey Meat Bird","55100"
"Park","Wyoming","03-30-2022","Park 01","WOAH Non-Poultry","40"
"Carroll","Illinois","03-31-2022","Carroll 01","WOAH Non-Poultry","40"
"Cherokee","Iowa","03-31-2022","Cherokee 01","Commercial Turkey Meat Bird","88000"
"Osceola","Iowa","03-31-2022","Osceola 01","Commercial Table Egg Layer","5011700"
"Morrison","Minnesota","03-31-2022","Morrison 01","Commercial Turkey Meat Bird","52600"
